"transaction_id","timestamp","amount","sender_vpa","receiver_vpa","sender_bank","receiver_bank","status","failure_reason","failure_type","error_code","retry_count","metadata"
"TXN000001","2025-08-08T14:07:25.897043","24007.29","user8886@amazonpay","merchant280@phonepe","BOB","CANARA","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000002","2025-07-13T14:07:25.897043","15471.54","user3781@mobikwik","merchant683@mobikwik","AXIS","KOTAK","FAILED","Network timeout occurred","network_issue","E003","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000003","2025-07-23T14:07:25.897043","12636.01","user6131@mobikwik","merchant426@amazonpay","ICICI","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000004","2025-07-25T14:07:25.897043","36218.54","user4935@amazonpay","merchant574@amazonpay","HDFC","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000005","2025-07-25T14:07:25.897043","39167.42","user5047@paytm","merchant358@gpay","BOB","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000006","2025-07-15T14:07:25.897043","174.49","user7784@gpay","merchant707@mobikwik","AXIS","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000007","2025-07-14T14:07:25.897043","16211.31","user2143@gpay","merchant468@paytm","HDFC","HDFC","FAILED","Invalid VPA provided","incorrect_details","E002","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000008","2025-07-14T14:07:25.897043","10691.14","user7982@amazonpay","merchant693@gpay","SBI","AXIS","FAILED","Bank server temporarily unavailable","bank_server_error","E004","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000009","2025-08-03T14:07:25.897553","2872.36","user9104@mobikwik","merchant352@paytm","PNB","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000010","2025-07-15T14:07:25.897553","12095.34","user3693@gpay","merchant322@paytm","BOB","HDFC","FAILED","Network timeout occurred","network_issue","E003","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000011","2025-07-20T14:07:25.897553","42855.64","user8206@paytm","merchant648@gpay","HDFC","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000012","2025-08-06T14:07:25.897553","26320.8","user5121@gpay","merchant160@amazonpay","BOB","AXIS","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000013","2025-08-09T14:07:25.897553","16633.1","user2921@gpay","merchant775@paytm","HDFC","CANARA","FAILED","VPA does not exist","invalid_vpa","E006","3","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000014","2025-08-04T14:07:25.897553","48091.15","user2325@gpay","merchant586@phonepe","CANARA","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000015","2025-07-20T14:07:25.897553","24231.56","user7688@mobikwik","merchant224@paytm","SBI","ICICI","FAILED","UPI PIN verification failed","authentication_failed","E008","3","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000016","2025-08-09T14:07:25.897553","23784.34","user8028@mobikwik","merchant237@mobikwik","BOB","SBI","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000017","2025-08-01T14:07:25.897553","2553.17","user4477@gpay","merchant902@amazonpay","CANARA","KOTAK","FAILED","Network timeout occurred","network_issue","E003","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000018","2025-07-25T14:07:25.897553","37292.44","user9975@gpay","merchant805@phonepe","CANARA","BOB","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000019","2025-07-29T14:07:25.897553","30380.58","user2523@mobikwik","merchant255@mobikwik","SBI","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000020","2025-07-22T14:07:25.897553","6363.08","user2374@phonepe","merchant155@mobikwik","ICICI","ICICI","FAILED","Transaction timeout","timeout","E007","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000021","2025-07-12T14:07:25.897553","22795.1","user1145@amazonpay","merchant920@gpay","PNB","KOTAK","SUCCESS","","","","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000022","2025-07-28T14:07:25.897553","27204.85","user2104@gpay","merchant760@paytm","HDFC","CANARA","FAILED","UPI PIN verification failed","authentication_failed","E008","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000023","2025-07-28T14:07:25.897553","41783.43","user5476@phonepe","merchant606@amazonpay","HDFC","HDFC","FAILED","Daily transaction limit exceeded","daily_limit_exceeded","E005","1","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000024","2025-08-04T14:07:25.897553","43964.58","user9813@gpay","merchant861@phonepe","HDFC","HDFC","FAILED","Transaction timeout","timeout","E007","0","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
"TXN000025","2025-07-18T14:07:25.897553","49118.72","user6830@gpay","merchant269@gpay","SBI","KOTAK","FAILED","Insufficient balance in account","insufficient_funds","E001","2","{""device"": ""mobile"", ""app_version"": ""1.2.3""}"
